,country,year,adjcov,unadjcov,netden,totden,barglev2,coninv,govin,barglev1,confed1,confed2,confed3,confed4,confed5,confed6,confed7,confed8,conmem1,conmem2,conmem3,conmem5,unaffmem,conmem4,conmem6,conmem7,conmem8,con11,con12,con13,con14,con21,con22,con23,con24,nat11,nat12,nat13,nat14,nat15,nat21,nat22,nat23,nat24,nat25,emconv1,emconv2,emconv3,emconv4,emconv5,emafv1,emafv2,emafv3,emafv4,emafv5,contot,herf,apphrf1,apphrf2,apphrf3,apphrf4,apphrfwt,apphrfr1,apphrfr2,apphrfr3,apphrfr4,conshre,apphrfbl
268,ARL,1972,NA,NA,0.449889541,50.99015808,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,ARL,1973,NA,NA,0.462473065,52.39271164,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1667200,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,1667200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623578668,NA
270,ARL,1974,NA,NA,0.474835455,53.76113129,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,ARL,1975,NA,NA,0.474242419,53.66287994,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1791300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,1791300,1,0.016520053,NA,NA,NA,0.016520053,0.016520053,NA,NA,NA,0.632208645,0.016520053
272,ARL,1976,NA,NA,0.467233241,52.876297,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,ARL,1977,NA,NA,0.457878172,51.79966736,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,1798300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,1798300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642777979,NA
274,ARL,1978,NA,NA,0.458661765,51.89367676,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,ARL,1979,NA,NA,0.464292228,52.48584366,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,2007500,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2007500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698601067,NA
276,ARL,1980,88,88,0.464076638,52.43746567,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,ARL,1981,NA,NA,0.459895819,51.98090363,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,2283400,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2283400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762633204,NA
